name,time,windspeed,windspeed_MW
windgeber,1.73011E+18,2.4,2.3
windgeber,1.73011E+18,2,2.3
windgeber,1.73011E+18,2.4,2.3
windgeber,1.73011E+18,2,2.3
windgeber,1.73011E+18,2.4,2.2
windgeber,1.73011E+18,2.4,2.2
windgeber,1.73011E+18,2.4,2.2
windgeber,1.73011E+18,2.4,2.2
windgeber,1.73011E+18,2.4,2.3
windgeber,1.73011E+18,2.4,2.3
windgeber,1.73011E+18,2.4,2.3
windgeber,1.73011E+18,2.4,2.3
windgeber,1.73011E+18,2.4,2.3
windgeber,1.73011E+18,2.4,2.3
windgeber,1.73011E+18,2.4,2.3
windgeber,1.73011E+18,2.8,2.3
windgeber,1.73011E+18,2.4,2.3
windgeber,1.73011E+18,2.8,2.3
windgeber,1.73011E+18,2.8,2.3
windgeber,1.73011E+18,2.8,2.3
windgeber,1.73011E+18,2.8,2.3
windgeber,1.73011E+18,2.4,2.3
windgeber,1.73011E+18,2.8,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.8,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.8,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2.8,2.4
windgeber,1.73011E+18,2.8,2.4
windgeber,1.73011E+18,2.8,2.4
windgeber,1.73011E+18,2.8,2.4
windgeber,1.73011E+18,3.2,2.4
windgeber,1.73011E+18,2.8,2.4
windgeber,1.73011E+18,3.2,2.5
windgeber,1.73011E+18,2.8,2.5
windgeber,1.73011E+18,2.8,2.5
windgeber,1.73011E+18,3.2,2.5
windgeber,1.73011E+18,3.2,2.5
windgeber,1.73011E+18,3.2,2.5
windgeber,1.73011E+18,2.8,2.5
windgeber,1.73011E+18,2.8,2.5
windgeber,1.73011E+18,2.4,2.5
windgeber,1.73011E+18,2.4,2.6
windgeber,1.73011E+18,2.4,2.6
windgeber,1.73011E+18,2.4,2.6
windgeber,1.73011E+18,2,2.6
windgeber,1.73011E+18,2,2.6
windgeber,1.73011E+18,2.4,2.6
windgeber,1.73011E+18,2,2.6
windgeber,1.73011E+18,2.4,2.6
windgeber,1.73011E+18,2.4,2.6
windgeber,1.73011E+18,2.4,2.6
windgeber,1.73011E+18,2.4,2.6
windgeber,1.73011E+18,2.4,2.6
windgeber,1.73011E+18,2,2.5
windgeber,1.73011E+18,2,2.5
windgeber,1.73011E+18,2.4,2.5
windgeber,1.73011E+18,2.4,2.5
windgeber,1.73011E+18,2.4,2.5
windgeber,1.73011E+18,2,2.5
windgeber,1.73011E+18,2,2.5
windgeber,1.73011E+18,2.4,2.5
windgeber,1.73011E+18,2.4,2.5
windgeber,1.73011E+18,2.4,2.5
windgeber,1.73011E+18,2.4,2.5
windgeber,1.73011E+18,2.4,2.5
windgeber,1.73011E+18,2.4,2.5
windgeber,1.73011E+18,2,2.5
windgeber,1.73011E+18,2,2.5
windgeber,1.73011E+18,2,2.5
windgeber,1.73011E+18,2,2.5
windgeber,1.73011E+18,2,2.4
windgeber,1.73011E+18,2,2.4
windgeber,1.73011E+18,2.4,2.4
windgeber,1.73011E+18,2,2.4
windgeber,1.73011E+18,2,2.4
windgeber,1.73011E+18,1.6,2.4
windgeber,1.73011E+18,1.6,2.4
windgeber,1.73011E+18,1.2,2.4
windgeber,1.73011E+18,1.2,2.4
windgeber,1.73011E+18,1.2,2.3
windgeber,1.73011E+18,1.6,2.3
windgeber,1.73011E+18,1.6,2.3
windgeber,1.73011E+18,2,2.3
